0,229
1,322
2,400
3,650
4,888
5,1128
6,1694
7,2036
8,2502
9,3089
10,3858
11,4636
12,5883
13,7375
14,9172
15,10149
16,12462
17,15113
18,17660
19,21157
20,24747
21,27980
22,31506
